General.EstateTypeKey;General.ReferenceNumber;General.DistributionTypeKey;General.ConstructionYear;General.LivingSpace;Tealium.object_locationid;Tealium.object_address_is_visible;Tealium.object_zip;Tealium.object_currency;Tealium.object_features;Tealium.object_objektart_sub;Tealium.expose_type;Tealium.broker_guid;Tealium.object_count_photos;LocalRatings.scores.local_amenities;LocalRatings.scores.mobility;MetaBadges;Price.AdditionalInformation.Commission.CommissionType;EstateAddress.City;EstateAddress.ZipCode;EstateAddress.Street;Offerer.addressGuid;Offerer.globalUserId;Offerer.contactData.companyName;Project.Address.PostCode;Project.Address.Street;Project.Address.HouseNumber;Latitude;Longitude;Stadtteil;Stadt;PRICE;Column1;ROOMS;PRICE_COMMONCHARGE;EnergyType;Class;Value;CATEGORY;FLOOR;USAGE;SUITABILITY;CONDITION;HOUSECONDITION;PARKINGSLOT;ENERGY;BUILDINGTYPE;HEATING;ELEVATOR;EQUIPMENTS
WOHNUNG;163 (1/163);ZUM_KAUF;19570;1200;493422;FALSE;90408;EUR;['WANNE', 'FENSTER', 'Kelleranteil', 'FERNE', 'GAS', 'PARKETT', 'DIELEN', 'abstellraum', 'Einbauküche', 'wg_geeignet', 'REINIGUNG', 'Balkon', 'Aluminiumfenster'];wohnung;standard;2582126;120;75;97;[];COMMISSION_REQUIRED;Nürnberg;90408;;9EAF7D88A3414BA1AD717643ED0CE62A;2582126;Perfecta Immobilien;;;;4946293;1107721;Gärten h d Veste;Nürnberg;4855000;485500;50;3850;UNDEFINED;DE_ENV2014_CLASS_F;1907;;4. Geschoss;;WG-geeignet;;;;Gas;;;;
WOHNUNG;317;ZUM_KAUF;20140;9541;493440;FALSE;90408;EUR;['Neubau', 'barriefrei', 'WANNE', 'gaestewc', 'DUSCHE', 'Kelleranteil', 'Personenaufzug', 'NEUWERTIG', 'FERN', 'rollstuhlgerecht', 'PARKETT', 'FLIESEN', 'Einbauküche', 'offene Küche', 'Tiefgarage', 'kable_sat_tv', 'Balkon', 'Kunststofffenster'];wohnung;standard;66310;130;78;95;[];COMMISSION_REQUIRED;Nürnberg;90408;;88824046E99245C280B6BBCAC4BDD3AD;66310;Lafery Immobilien;;;;4947379;1108631;Großreuth h d Veste;Nürnberg;4950000;495000;40;22875;UNDEFINED;DE_ENV2014_CLASS_A;332;;4. Geschoss;;barrierefrei, rollstuhlgerecht;;Neubau;Tiefgarage;Fernwärme;;;Personenaufzug;neuwertig
WOHNUNG;EG | re;ZUM_KAUF;19530;460;493421;TRUE;90489;EUR;['Neubau', 'DUSCHE', 'FENSTER', 'Kelleranteil', 'Erdgeschoss', 'renoviert', 'GAS', 'Etagenheizung', 'KUNSTSTOFF', 'FLIESEN', 'Kapitalanlage', 'frei', 'Haustiere erlaubt', 'REINIGUNG', 'Terrasse', 'Kunststofffenster', 'provisionsfrei'];wohnung;standard;2437643;200;80;97;[{'label': 'Provisionsfrei', 'highlight': True}];COMMISSION_FREE;Nürnberg;90489;Georg-Strobel-Strasse 29;88E70F6E7655400C96804E2BA3D2E38D;2437643;­Berger Liegenschaften GmbH ;;;;494587;1109995;Gärten b Wöhrd;Nürnberg;2350000;235000;30;1270;UNDEFINED;DE_ENV2014_CLASS_G;2444;;Erdgeschoss;frei;;renoviert / saniert;Neubau;;Gas;;Etagenheizung;;
WOHNUNG;239131;ZUM_KAUF;19660;1363;493542;FALSE;90425;EUR;['WANNE', 'DUSCHE', 'Kelleranteil', 'Erdgeschoss', 'GAS', 'Zentralheizung', 'PARKETT', 'FLIESEN', 'Einbauküche', 'Stellplatz', 'Balkon', 'provisionsfrei'];wohnung;standard;678606;440;64;91;[{'label': 'Provisionsfrei', 'highlight': True}];COMMISSION_FREE;Nürnberg;90425;;5BA347D760714CCC97F0F7D38252A296;678606;ohne-makler.net - Immobilien selbst vermarkten;;;;494772;1106313;Thon;Nürnberg;6490000;649000;40;;UNDEFINED;;1350;;Erdgeschoss;;;;;1 Stellplatz;Gas;;Zentralheizung;;
WOHNUNG;1522;ZUM_KAUF;19860;770;493542;FALSE;90425;EUR;['FENSTER', 'Kelleranteil', 'Personenaufzug', 'Dachgeschoss', 'FERNE', 'GEPFLEGT', 'GAS', 'Fußbodenheizung', 'frei', 'Garage', 'Terrasse'];wohnung;standard;50727;60;59;90;[];COMMISSION_REQUIRED;Nürnberg;90425;;4ACAAE1BEC2D4243B604D80B907050CE;50727;Böller Immobilien e.K.;;;;494772;1106313;Thon;Nürnberg;2750000;275000;20;3560;UNDEFINED;DE_ENV2014_CLASS_D;1055;;2. Geschoss (Dachgeschoss);frei;;gepflegt;;Garage;Gas;;Fußbodenheizung;Personenaufzug;
WOHNUNG;1107;ZUM_KAUF;19600;550;493427;FALSE;90449;EUR;['Dach ausgebaut', 'WANNE', 'DUSCHE', 'FENSTER', 'unterkellert', 'Massivhaus', 'GAS', 'Fußbodenheizung', 'Zentralheizung', 'LAMINAT', 'FLIESEN', 'abstellraum', 'Einbauküche', 'Balkon', 'VOLLERSCHLOSSEN', 'Kunststofffenster'];wohnung;standard;20482;160;21;78;[];COMMISSION_DEFAULT;Nürnberg;90449;;3963DDEDC6C9495A8650DAFD7A241B9D;20482;BV Bauträger und Immobilien GmbH­;;;;4942957;1100723;Gebersdorf;Nürnberg;2150000;215000;25;;UNDEFINED;;930;;;;;;;;Gas;;Fußbodenheizung, Zentralheizung;;
WOHNUNG;1/20/003-003/010641;ZUM_KAUF;19100;6536;493537;FALSE;90443;EUR;['Altbau (bis 1945)', 'DUSCHE', 'Kelleranteil', 'GEPFLEGT', 'Massivhaus', 'GAS', 'Etagenheizung', 'LAMINAT', 'LINOLEUM', 'vermietet', 'Einbauküche'];wohnung;standard;62386;100;74;97;[];COMMISSION_REQUIRED;Nürnberg;90443;;9A1C082F3A6F415E9EB6FBAA631F1B9B;62386;Sparkasse Nürnberg ImmobilienCenter;;;;4943929;1107396;Steinbühl;Nürnberg;1690000;169000;30;2300;UNDEFINED;DE_ENV2014_CLASS_F;1639;;1. Geschoss;vermietet;;gepflegt;Altbau (bis 1945);;Gas;;Etagenheizung;;
WOHNUNG;VK-ERPE;ZUM_KAUF;19650;500;493417;TRUE;90491;EUR;['WANNE', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'Dachgeschoss', 'FERNE', 'GEPFLEGT', 'OEL', 'Zentralheizung', 'LAMINAT', 'FLIESEN', 'frei', 'abstellraum', 'Einbauküche', 'Tiefgarage', 'kable_sat_tv', 'Terrasse', 'Kunststofffenster'];PENTHOUSE;standard;57438;250;50;87;[];COMMISSION_REQUIRED;Nürnberg;90491;Erlenstegenstr. 37;12bc731882e84d63bd1c0812bc21dfc3;57438;Immobilienbüro Salerno oHG;;;;4947441;1113785;Erlenstegen;Nürnberg;3490000;349000;20;1750;UNDEFINED;DE_ENV2014_CLASS_D;1064;Penthouse;9. Geschoss (Dachgeschoss);frei;;gepflegt;;Tiefgarage;Öl;;Zentralheizung;Personenaufzug;
WOHNUNG;362566;ZUM_KAUF;19930;440;493537;FALSE;90459;EUR;['barriefrei', 'WANNE', 'Kelleranteil', 'Personenaufzug', 'GEPFLEGT', 'GAS', 'Zentralheizung', 'teilweise möbliert', 'FLIESEN', 'abstellraum', 'Einbauküche', 'wasch_trockenraum'];wohnung;standard;7924960;120;86;97;[];COMMISSION_REQUIRED;Nürnberg;90459;;A9EADC026C8646518C1A2C93D24858C2;7924960;Blickpunkt Quartier;;;;4943929;1107396;Steinbühl;Nürnberg;1690000;169000;15;2420;UNDEFINED;DE_ENV2014_CLASS_B;670;;3. Geschoss;;barrierefrei;gepflegt;;;Gas;;Zentralheizung;Personenaufzug;teilweise möbliert
WOHNUNG;362782;ZUM_KAUF;19600;810;493504;FALSE;90489;EUR;['DUSCHE', 'GAS', 'Zentralheizung', 'Einbauküche', 'wasch_trockenraum'];LOFT-STUDIO-ATELIER;standard;7571553;160;80;97;[];COMMISSION_REQUIRED;Nürnberg;90489;;B328E272B5424EA4BF5CA19A5BD94D1A;7571553;Maja Prenzel Immobilien;;;;4946231;1109839;Rennweg;Nürnberg;4990000;499000;30;3340;UNDEFINED;;2174;Loft;;;;;;;Gas;;Zentralheizung;;
